Case ID,Data Category,Data Type,file_ids,file_names,num_file_id,num_files
TCGA-02-2486normal,Copy Number Variation,Gene Level Copy Number,"b6acdd41-08b4-42f1-b3e0-dc599ceff5bd,f9e3a7f6-2241-4d33-8afe-3f27d5cb646d","TCGA-GBM.74715f2b-fabc-4b3a-9819-aae6dcde8d3c.gene_level_copy_number.v36.tsv,TCGA-GBM.74715f2b-fabc-4b3a-9819-aae6dcde8d3c.ascat3.gene_level_copy_number.v36.tsv",2,2
TCGA-02-2486normal,Simple Nucleotide Variation,Masked Somatic Mutation,"6687e812-0842-4985-aaec-25be8f0582f4,523e6728-6954-4f10-9ca3-2beb93a00eaa","28ce041c-ecad-4ddc-8fd5-0de51da142f6.wxs.aliquot_ensemble_masked.maf,f6fdd908-5766-405d-a125-7cbf2eae47fa.wxs.aliquot_ensemble_masked.maf",2,2
TCGA-06-0119normal,Copy Number Variation,Gene Level Copy Number,"8ded2263-b5cd-4f3e-afa9-d957c38be5d6,1ea287b8-e227-45ca-98ab-68667dc8e3a4","TCGA-GBM.1cfc8eff-42b0-48a3-8f96-907651dcbe31.ascat3.gene_level_copy_number.v36.tsv,TCGA-GBM.1cfc8eff-42b0-48a3-8f96-907651dcbe31.gene_level_copy_number.v36.tsv",2,2
TCGA-06-0119normal,Simple Nucleotide Variation,Masked Somatic Mutation,712ed64e-c763-4741-8fdc-a0b0f5c542fe,7dff16bc-b2cf-4b74-83b2-d89c442c28c8.wxs.aliquot_ensemble_masked.maf,1,1
TCGA-06-0122normal,Copy Number Variation,Gene Level Copy Number,"16925388-88a8-44f9-a2b7-274411329be6,3b1903a9-d7c8-4e50-afc4-2fbb857d2952,c0571e37-2454-4932-92f2-35de8ecb2b59","TCGA-GBM.0674a285-6af2-4476-b50f-92a437b052b9.gene_level_copy_number.v36.tsv,TCGA-GBM.0674a285-6af2-4476-b50f-92a437b052b9.ascat3.gene_level_copy_number.v36.tsv,TCGA-GBM.d86d6d98-3a78-42bc-83e8-976f954e9c46.gene_level_copy_number.v36.tsv",3,3
TCGA-06-0122normal,Simple Nucleotide Variation,Masked Somatic Mutation,1b66b4e6-95bd-43f7-a45d-84e0b2a1e8a0,dfa08419-6553-4536-91b2-786a6f6266c6.wxs.aliquot_ensemble_masked.maf,1,1
TCGA-06-0124normal,Copy Number Variation,Gene Level Copy Number,"869d7c24-acf5-4314-b3c4-1b32a4bba85c,86573015-22a6-482d-97b0-dc07f961651e,d2943746-3e1c-4917-8e15-f204de157379","TCGA-GBM.5402f832-b7d3-4a86-9626-2a0fcf5b173f.gene_level_copy_number.v36.tsv,TCGA-GBM.1320140b-2dfe-42f6-b369-0a5725bd6492.ascat3.gene_level_copy_number.v36.tsv,TCGA-GBM.1320140b-2dfe-42f6-b369-0a5725bd6492.gene_level_copy_number.v36.tsv",3,3
TCGA-06-0124normal,Simple Nucleotide Variation,Masked Somatic Mutation,f4840a9e-4c0d-4aff-9d39-7e646868ef4f,b0945cae-8fc7-47ea-9b5e-d219efdbaf08.wxs.aliquot_ensemble_masked.maf,1,1
TCGA-06-0125normal,Copy Number Variation,Gene Level Copy Number,"bee8825c-a3f3-4021-9286-860fde4b0178,2ca04ceb-c00c-44b2-b8e8-5eec78189f5f,67c7ee56-4a78-4200-9a7c-a665923d95a7,f1db63ea-4daa-486b-bdfc-f66da4ed2b5f","TCGA-GBM.7478d4b4-ad47-4a36-b607-0ff7414a0eee.gene_level_copy_number.v36.tsv,TCGA-GBM.83ce717f-a6ed-43af-82b1-417df9aba12c.gene_level_copy_number.v36.tsv,TCGA-GBM.7478d4b4-ad47-4a36-b607-0ff7414a0eee.ascat3.gene_level_copy_number.v36.tsv,TCGA-GBM.54393a0b-8fcd-4100-b0df-f05d00797884.gene_level_copy_number.v36.tsv",4,4
TCGA-06-0125normal,Simple Nucleotide Variation,Masked Somatic Mutation,"94b019d9-8165-4c00-a5db-8cbc5f8bd4d2,b55319e9-2dd7-4ef4-803f-6e2651cc5299","54ac8e1e-3c09-4882-8a3e-43807599064f.wxs.aliquot_ensemble_masked.maf,55f1e904-718d-4ad3-aef3-e73f2fa1c3f4.wxs.aliquot_ensemble_masked.maf",2,2
